Sector,IC,N_obs
Foods,0.06293066019378163,3871
Energy,0.03430959017309269,3871
Construction,-0.09651662501134181,3871
Materials,0.040067098442293315,3871
Pharma,0.05328732125891316,3871
Auto,-0.17036840404240372,3871
Steel,0.03767726009194917,3871
Machinery,0.03887555368587761,3871
ElecPrecision,0.05715215554120804,3871
InfoComm,0.04855188693747503,3871
Utilities,-0.03661469311911023,3871
Transport,0.07396875888128271,3871
Trading,-0.04434811103787373,3871
Retail,0.08580621987862593,3871
Banks,-0.02863306795404492,3871
Finance,-0.01748848760800952,3871
RealEstate,0.08998375029901101,3871
