Strategy,AR%,RISK%,R/R,MDD%,N_days
v1_gross,20.461952922600453,12.126301104439344,1.6874026750918705,-14.82281157160164,3871
v1_net,-38.620869849000016,12.726559542599327,-3.0346669671190587,-99.8119043977618,3871
MOM,-0.38133746494594994,10.770385041571592,-0.0354061125460289,-40.258510413387164,3872
MT3,-9.728324142274074,7.060303660877527,-1.377890330154006,-80.50623745272836,3871
MT3_gross,10.834484637352695,7.006928746613199,1.5462530060105928,-14.464224324888042,3871
MT5,-4.941847228447031,5.0538996748218,-0.9778285178605728,-56.933685713869,3871
MT5_gross,7.317851185422855,5.018874756967073,1.458066108396987,-7.976409312379346,3871
MT5_ema3,-5.366253084667049,6.383981772419537,-0.8405808907303997,-60.935738029450285,3871
MT5_ema5,-5.69012687851408,7.133586686639835,-0.7976530080122046,-64.26610627808465,3871
v2_best,-7.120996009193724,7.638602353399712,-0.9322380822748788,-70.44421888144501,3871
v2_best_gross,4.353527164654253,7.56963694702766,0.5751302466842529,-18.14116458522209,3871
Ensemble,-6.701976811752199,8.843314482031499,-0.7578580209230116,-69.10174011763807,3871
