Strategy,Model,alpha,alpha_t,alpha_p,R2
v1_gross,Carhart4,0.0008049248993026536,6.456155367790298,1.0739635287368089e-10,0.0004266327575346285
v1_net,Carhart4,-0.0015949308887821076,-12.16208669627771,4.947844309197045e-34,0.0006340074422424014
MOM,Carhart4,2.1903330729994274e-05,0.19434204813606312,0.8459080635603792,0.007191490712329163
MT3,Carhart4,-0.00038730715310942145,-5.224040983474664,1.7506000678382203e-07,0.0004419427973295642
MT3_gross,Carhart4,0.00044650247538785917,6.105421748478914,1.0252957873880726e-09,0.0004844331920690337
MT5,Carhart4,-0.0001875362200635271,-3.4669236216097064,0.0005264514580217026,0.0026759701534652125
MT5_gross,Carhart4,0.0003108846954286158,5.828832747974362,5.581640963520352e-09,0.0028630258916316764
MT5_ema3,Carhart4,-0.0002003859319142629,-2.8401816588700703,0.004508784987840174,0.004157760886399187
MT5_ema5,Carhart4,-0.00020711143557310168,-2.7029691015341144,0.006872313447211216,0.00363191394633422
v2_best,Carhart4,-0.00026649649986146474,-3.3721528232312754,0.0007458305128444812,0.0007872835697086966
v2_best_gross,Carhart4,0.00020118634460101898,2.5744291090181277,0.010040566002921183,0.0008575369821908208
Ensemble,Carhart4,-0.00025860521493710096,-2.6587181392259756,0.00784385541772072,0.0029555579135407406
